restaurant_name,country_code,city,cuisines,average_cost_for_two,currency,has_table_booking,has_online_delivery,is_delivering_now,price_range,aggregate_rating,rating_color,rating_text,votes,price_category
Le Petit Souffle,162,Makati City,French,1100,Botswana Pula(P),1,0,No,3,4.8,Dark Green,Excellent,314,Expensive
Izakaya Kikufuji,162,Makati City,Japanese,1200,Botswana Pula(P),1,0,No,3,4.5,Dark Green,Excellent,591,Expensive
Heat - Edsa Shangri-La,162,Mandaluyong City,Seafood,4000,Botswana Pula(P),1,0,No,4,4.4,Green,Very Good,270,Luxury
Ooma,162,Mandaluyong City,Japanese,1500,Botswana Pula(P),0,0,No,4,4.9,Dark Green,Excellent,365,Expensive
Sambo Kojin,162,Mandaluyong City,Japanese,1500,Botswana Pula(P),1,0,No,4,4.8,Dark Green,Excellent,229,Expensive
Din Tai Fung,162,Mandaluyong City,Chinese,1000,Botswana Pula(P),0,0,No,3,4.4,Green,Very Good,336,Expensive
Buffet 101,162,Pasay City,Asian,2000,Botswana Pula(P),1,0,No,4,4.0,Green,Very Good,520,Expensive
Vikings,162,Pasay City,Seafood,2000,Botswana Pula(P),1,0,No,4,4.2,Green,Very Good,677,Expensive
Spiral - Sofitel Philippine Plaza Manila,162,Pasay City,European,6000,Botswana Pula(P),1,0,No,4,4.9,Dark Green,Excellent,621,
Locavore,162,Pasig City,Filipino,1100,Botswana Pula(P),1,0,No,3,4.8,Dark Green,Excellent,532,Expensive
Silantro Fil-Mex,162,Pasig City,Filipino,800,Botswana Pula(P),0,0,No,3,4.9,Dark Green,Excellent,1070,Mid-range
Mad Mark's Creamery & Good Eats,162,Pasig City,American,900,Botswana Pula(P),1,0,No,3,4.2,Green,Very Good,488,Expensive
Silantro Fil-Mex,162,Quezon City,Filipino,800,Botswana Pula(P),0,0,No,3,4.8,Dark Green,Excellent,294,Mid-range
Guevarra's,162,San Juan City,Filipino,1000,Botswana Pula(P),1,0,No,3,4.2,Green,Very Good,458,Expensive
Sodam Korean Restaurant,162,San Juan City,Korean,700,Botswana Pula(P),0,0,No,3,4.3,Green,Very Good,223,Mid-range
